,subject.id,word,value,order,last
0,0,APRIL,18,1,False
1,0,MAY,25,2,False
2,0,MARCH,18,3,False
3,0,SEPTEMBER,16,4,False
4,0,OCTOBER,20,5,False
5,0,AUGUST,7,6,False
6,0,JUNE,14,7,False
7,0,JANUARY,14,8,False
8,0,JULY,12,9,False
9,0,FEBRUARY,2,10,False
10,0,NOVEMBER,22,11,False
11,0,DECEMBER,3,12,True
12,1,JULY,12,1,False
13,1,JANUARY,14,2,False
14,1,MARCH,18,3,False
15,1,DECEMBER,3,4,False
16,1,OCTOBER,20,5,True
17,2,JUNE,14,1,False
18,2,APRIL,18,2,False
19,2,JULY,12,3,False
20,2,AUGUST,7,4,False
21,2,NOVEMBER,22,5,True
22,3,DECEMBER,3,1,False
23,3,OCTOBER,20,2,False
24,3,MAY,25,3,False
25,3,JUNE,14,4,False
26,3,MARCH,18,5,False
27,3,JANUARY,14,6,False
28,3,APRIL,18,7,False
29,3,NOVEMBER,22,8,False
30,3,JULY,12,9,False
31,3,AUGUST,7,10,False
32,3,FEBRUARY,2,11,False
33,3,SEPTEMBER,16,12,True
34,4,JUNE,14,1,False
35,4,MARCH,18,2,False
36,4,APRIL,18,3,False
37,4,SEPTEMBER,16,4,False
38,4,NOVEMBER,22,5,True
39,5,APRIL,18,1,False
40,5,MAY,25,2,False
41,5,JANUARY,14,3,False
42,5,NOVEMBER,22,4,False
43,5,AUGUST,7,5,False
44,5,OCTOBER,20,6,False
45,5,FEBRUARY,2,7,False
46,5,JULY,12,8,False
47,5,SEPTEMBER,16,9,False
48,5,DECEMBER,3,10,False
49,5,JUNE,14,11,False
50,5,MARCH,18,12,True
51,6,SEPTEMBER,16,1,False
52,6,AUGUST,7,2,False
53,6,MAY,25,3,False
54,6,OCTOBER,20,4,False
55,6,JULY,12,5,False
56,6,MARCH,18,6,False
57,6,APRIL,18,7,False
58,6,FEBRUARY,2,8,False
59,6,JUNE,14,9,False
60,6,DECEMBER,3,10,False
61,6,JANUARY,14,11,False
62,6,NOVEMBER,22,12,True
63,7,DECEMBER,3,1,False
64,7,APRIL,18,2,False
65,7,FEBRUARY,2,3,False
66,7,MAY,25,4,True
67,8,MARCH,18,1,False
68,8,NOVEMBER,22,2,False
69,8,AUGUST,7,3,False
70,8,FEBRUARY,2,4,False
71,8,OCTOBER,20,5,False
72,8,MAY,25,6,True
73,9,APRIL,18,1,False
74,9,AUGUST,7,2,False
75,9,SEPTEMBER,16,3,False
76,9,MARCH,18,4,True
77,10,JUNE,14,1,False
78,10,OCTOBER,20,2,False
79,10,NOVEMBER,22,3,False
80,10,SEPTEMBER,16,4,False
81,10,MARCH,18,5,False
82,10,AUGUST,7,6,False
83,10,JULY,12,7,False
84,10,MAY,25,8,True
85,11,DECEMBER,3,1,False
86,11,JANUARY,14,2,False
87,11,NOVEMBER,22,3,False
88,11,JUNE,14,4,False
89,11,MAY,25,5,True
90,12,SEPTEMBER,16,1,False
91,12,MAY,25,2,False
92,12,MARCH,18,3,False
93,12,JULY,12,4,False
94,12,DECEMBER,3,5,False
95,12,APRIL,18,6,False
96,12,NOVEMBER,22,7,False
97,12,OCTOBER,20,8,False
98,12,FEBRUARY,2,9,False
99,12,JANUARY,14,10,False
100,12,AUGUST,7,11,False
101,12,JUNE,14,12,True
102,13,JULY,12,1,False
103,13,OCTOBER,20,2,False
104,13,APRIL,18,3,False
105,13,DECEMBER,3,4,False
106,13,JUNE,14,5,False
107,13,FEBRUARY,2,6,False
108,13,JANUARY,14,7,False
109,13,AUGUST,7,8,False
110,13,SEPTEMBER,16,9,False
111,13,NOVEMBER,22,10,True
112,14,APRIL,18,1,False
113,14,JANUARY,14,2,False
114,14,FEBRUARY,2,3,False
115,14,MARCH,18,4,True
116,15,NOVEMBER,22,1,False
117,15,AUGUST,7,2,False
118,15,JANUARY,14,3,False
119,15,MARCH,18,4,False
120,15,MAY,25,5,True
121,16,AUGUST,7,1,False
122,16,JANUARY,14,2,False
123,16,JULY,12,3,False
124,16,MARCH,18,4,True
125,17,NOVEMBER,22,1,False
126,17,MARCH,18,2,False
127,17,MAY,25,3,False
128,17,JULY,12,4,False
129,17,JUNE,14,5,False
130,17,AUGUST,7,6,False
131,17,DECEMBER,3,7,False
132,17,OCTOBER,20,8,False
133,17,SEPTEMBER,16,9,False
134,17,JANUARY,14,10,False
135,17,APRIL,18,11,False
136,17,FEBRUARY,2,12,True
137,18,APRIL,18,1,False
138,18,SEPTEMBER,16,2,False
139,18,JANUARY,14,3,False
140,18,DECEMBER,3,4,False
141,18,AUGUST,7,5,False
142,18,JULY,12,6,False
143,18,JUNE,14,7,False
144,18,OCTOBER,20,8,True
145,19,SEPTEMBER,16,1,False
146,19,OCTOBER,20,2,False
147,19,JULY,12,3,False
148,19,JUNE,14,4,False
149,19,FEBRUARY,2,5,False
150,19,MARCH,18,6,False
151,19,NOVEMBER,22,7,True
152,20,AUGUST,7,1,False
153,20,JANUARY,14,2,False
154,20,OCTOBER,20,3,False
155,20,JUNE,14,4,False
156,20,JULY,12,5,False
157,20,NOVEMBER,22,6,True
158,21,FEBRUARY,2,1,False
159,21,MARCH,18,2,False
160,21,SEPTEMBER,16,3,False
161,21,JULY,12,4,False
162,21,APRIL,18,5,True
163,22,JULY,12,1,False
164,22,JUNE,14,2,False
165,22,JANUARY,14,3,False
166,22,AUGUST,7,4,False
167,22,MAY,25,5,True
168,23,SEPTEMBER,16,1,False
169,23,AUGUST,7,2,False
170,23,JUNE,14,3,False
171,23,JANUARY,14,4,False
172,23,MARCH,18,5,True
173,24,JULY,12,1,False
174,24,NOVEMBER,22,2,False
175,24,MAY,25,3,False
176,24,FEBRUARY,2,4,False
177,24,AUGUST,7,5,False
178,24,DECEMBER,3,6,False
179,24,JANUARY,14,7,False
180,24,MARCH,18,8,False
181,24,APRIL,18,9,False
182,24,OCTOBER,20,10,False
183,24,JUNE,14,11,False
184,24,SEPTEMBER,16,12,True
185,25,JUNE,14,1,False
186,25,APRIL,18,2,False
187,25,JULY,12,3,False
188,25,AUGUST,7,4,False
189,25,DECEMBER,3,5,False
190,25,SEPTEMBER,16,6,False
191,25,JANUARY,14,7,False
192,25,MAY,25,8,True
193,26,OCTOBER,20,1,False
194,26,MARCH,18,2,False
195,26,MAY,25,3,False
196,26,FEBRUARY,2,4,False
197,26,NOVEMBER,22,5,False
198,26,DECEMBER,3,6,False
199,26,JULY,12,7,False
200,26,JANUARY,14,8,False
201,26,JUNE,14,9,False
202,26,AUGUST,7,10,False
203,26,APRIL,18,11,False
204,26,SEPTEMBER,16,12,True
205,27,DECEMBER,3,1,False
206,27,FEBRUARY,2,2,False
207,27,AUGUST,7,3,False
208,27,JANUARY,14,4,True
209,28,OCTOBER,20,1,False
210,28,JULY,12,2,False
211,28,FEBRUARY,2,3,False
212,28,JUNE,14,4,False
213,28,SEPTEMBER,16,5,False
214,28,MARCH,18,6,False
215,28,AUGUST,7,7,False
216,28,NOVEMBER,22,8,True
217,29,DECEMBER,3,1,False
218,29,OCTOBER,20,2,False
219,29,SEPTEMBER,16,3,False
220,29,APRIL,18,4,False
221,29,MARCH,18,5,False
222,29,JUNE,14,6,False
223,29,MAY,25,7,True
224,30,DECEMBER,3,1,False
225,30,MAY,25,2,False
226,30,MARCH,18,3,False
227,30,SEPTEMBER,16,4,False
228,30,NOVEMBER,22,5,False
229,30,FEBRUARY,2,6,False
230,30,JULY,12,7,False
231,30,JUNE,14,8,False
232,30,OCTOBER,20,9,False
233,30,APRIL,18,10,False
234,30,JANUARY,14,11,False
235,30,AUGUST,7,12,True
236,31,APRIL,18,1,False
