"","word","in.cs","in.cs.se","chosen","chosen.se"
"1","ABDOMEN",0.886363636363636,0.0478451908136753,0.0769230769230769,0.0401717667590072
"2","ADDICT",0.785714285714286,0.0775443069059728,0.0454545454545455,0.0393647910811109
"3","ALMOND",0.84,0.0733212111192934,0.0476190476190476,0.042591770999996
"4","ANIMAL",0.9,0.0547722557505166,0.148148148148148,0.0648588915385862
"5","BABOON",0.896551724137931,0.056552304164538,0.192307692307692,0.0731850379910949
"6","BAGPIPE",0.807692307692308,0.0772920146604327,0,0
"7","BAKERY",0.818181818181818,0.0822303667030264,0,0
"8","BALCONY",0.774193548387097,0.0750951864835326,0.0416666666666667,0.0358898653839212
"9","BANQUET",0.764705882352941,0.102879368493554,0.230769230769231,0.102186332946934
"10","BAPTISM",0.888888888888889,0.0604812282168686,0.125,0.0636468846521644
"11","BARREL",0.782608695652174,0.0860061487037983,0.111111111111111,0.0655297582910654
"12","BASKET",0.666666666666667,0.136082763487954,0,0
"13","BATTERY",0.666666666666667,0.121716123890037,0,0
"14","BEAVER",0.925925925925926,0.0504010235140572,0.4,0.0942809041582063
"15","BEGGAR",0.869565217391304,0.0702237263554129,0,0
"16","BIKINI",0.967741935483871,0.0317335081830945,0.0666666666666667,0.0448014336688165
"17","BLANKET",0.733333333333333,0.11417984514369,0,0
"18","BUCKET",1,0,0.0769230769230769,0.0739053017561941
"19","BUDGET",0.833333333333333,0.0760725774312731,0,0
"20","BULLET",0.90625,0.0515269763995036,0.103448275862069,0.0538361896413655
"21","CABINET",0.9,0.0670820393249937,0.111111111111111,0.0702728368926307
"22","CAMERA",0.863636363636364,0.0731650049984536,0,0
"23","CANNON",0.857142857142857,0.0935219529582825,0.25,0.115727512471569
"24","CANVAS",0.935483870967742,0.0441236525434218,0.275862068965517,0.0802741648617073
"25","CARROT",0.9,0.0670820393249937,0.166666666666667,0.0833333333333333
"26","CASINO",0.9,0.0547722557505166,0,0
"27","CELERY",0.6875,0.11587810136087,0.0909090909090909,0.0718699468220086
"28","CHICKEN",0.928571428571429,0.0688302936899594,0.0769230769230769,0.0712169307517347
"29","CHIMNEY",0.782608695652174,0.0860061487037983,0.111111111111111,0.0655297582910654
"30","CHORUS",0.833333333333333,0.0760725774312731,0.25,0.0883883476483184
"31","CHURCH",1,0,0,0
"32","COFFEE",0.956521739130435,0.0425225779932022,0.0454545454545455,0.0434333220866322
"33","COFFIN",0.875,0.0675077156084152,0,0
"34","COSTUME",0.863636363636364,0.0731650049984536,0.210526315789474,0.08691819198366
"35","CRICKET",0.823529411764706,0.0924594409403972,0.0714285714285714,0.062462473728229
"36","DAGGER",0.904761904761905,0.0640564484890047,0.105263157894737,0.0669693695031949
"37","DEMON",0.947368421052632,0.0512278171991882,0.0555555555555556,0.052550294607051
"38","DOLLAR",0.91304347826087,0.0587533847558414,0,0
"39","DOMINO",0.789473684210526,0.0935287701724883,0.133333333333333,0.0779863535820802
"40","DRAGON",0.904761904761905,0.0640564484890047,0.0526315789473684,0.0487273736722396
"41","EARDRUM",0.782608695652174,0.0860061487037983,0.222222222222222,0.086687721956166
"42","FACTORY",0.914285714285714,0.0473187812120472,0.1875,0.0659748328639684
"43","FIREFLY",0.95,0.0487339717240448,0,0
"44","FIREMAN",1,0,0.1875,0.097578093724975
"45","FLIGHT",0.826086956521739,0.0790341964475118,0,0
"46","FORGERY",1,0,0.0588235294117647,0.0570672058909019
