,num_actions,action_cost,r,agent,utility
0,20,2,0.25,1,245.25582611143562
1,20,2,0.25,2,472.1209678424327
2,20,2,0.25,3,569.0456984987269
3,20,2,0.25,4,624.2185323782109
4,20,2,0.25,5,687.1562517393198
5,20,2,0.25,7,782.2908213620619
6,20,2,0.25,9,821.188768232841
7,20,2,0.25,12,864.977239118638
8,20,2,0.25,15,893.6533112062045
9,20,2,0.25,20,909.50303249168
10,20,2,0.25,Optimal,931.6552620118757
11,20,2,0.25,Dynamic,910.3400631223419
0,20,2,0.5,1,483.83664327554396
1,20,2,0.5,2,716.3661656181579
2,20,2,0.5,3,792.1212310267117
3,20,2,0.5,4,822.5414449534989
4,20,2,0.5,5,844.3184637844387
5,20,2,0.5,7,894.1385433040659
6,20,2,0.5,9,904.6523872440818
7,20,2,0.5,12,912.49240410139
8,20,2,0.5,15,919.5811867294751
9,20,2,0.5,20,915.7627977387128
10,20,2,0.5,Optimal,944.6749689694688
11,20,2,0.5,Dynamic,922.8275637495531
0,20,2,0.7,1,626.2981785970317
1,20,2,0.7,2,764.3332669831958
2,20,2,0.7,3,811.2879815195432
3,20,2,0.7,4,838.4123436959712
4,20,2,0.7,5,863.2797828685966
5,20,2,0.7,7,882.822054250936
6,20,2,0.7,9,891.886802392681
7,20,2,0.7,12,888.5250285514237
8,20,2,0.7,15,887.6202030605648
9,20,2,0.7,20,882.6647476437425
10,20,2,0.7,Optimal,912.7435902235977
11,20,2,0.7,Dynamic,891.0912722397536
0,20,2,0.8,1,733.4111380883612
1,20,2,0.8,2,823.1520867326581
2,20,2,0.8,3,852.2166992034021
3,20,2,0.8,4,861.8278007128945
4,20,2,0.8,5,868.1324431795547
5,20,2,0.8,7,867.8878549608947
6,20,2,0.8,9,866.5081464969838
7,20,2,0.8,12,867.6452047277531
8,20,2,0.8,15,862.4877981906492
9,20,2,0.8,20,853.6144669335438
10,20,2,0.8,Optimal,884.9775677807924
11,20,2,0.8,Dynamic,874.232264801697
0,20,2,0.85,1,796.9855080079974
1,20,2,0.85,2,875.8046005359662
2,20,2,0.85,3,905.6458846457946
3,20,2,0.85,4,914.0886253630841
4,20,2,0.85,5,917.9092756971008
5,20,2,0.85,7,924.2241919286538
6,20,2,0.85,9,920.6896687204546
7,20,2,0.85,12,915.0757073258178
8,20,2,0.85,15,912.5426204879009
9,20,2,0.85,20,903.1543219232107
10,20,2,0.85,Optimal,936.5114844015125
11,20,2,0.85,Dynamic,926.2821794631013
0,20,2,0.9,1,864.9303369053288
1,20,2,0.9,2,914.3392979133428
2,20,2,0.9,3,921.9805997087881
3,20,2,0.9,4,926.7008943361818
4,20,2,0.9,5,929.4586598464697
5,20,2,0.9,7,927.7708968549019
6,20,2,0.9,9,924.0147393777569
7,20,2,0.9,12,918.3805031620388
8,20,2,0.9,15,912.7462669463208
9,20,2,0.9,20,903.3558732534574
10,20,2,0.9,Optimal,937.5493110100593
11,20,2,0.9,Dynamic,932.5522467208866
0,20,2,0.95,1,885.6449623967605
1,20,2,0.95,2,925.4680574756676
2,20,2,0.95,3,932.0658742397048
3,20,2,0.95,4,932.003907372949
4,20,2,0.95,5,930.1286480019775
5,20,2,0.95,7,926.3781292600338
6,20,2,0.95,9,922.6687491241057
7,20,2,0.95,12,917.0427201660318
8,20,2,0.95,15,911.416691207958
9,20,2,0.95,20,902.0399762778351
10,20,2,0.95,Optimal,936.8479335470645
11,20,2,0.95,Dynamic,932.9852442682712
0,20,2,1.0,1,945.7915064598055
1,20,2,1.0,2,943.8999234468859
2,20,2,1.0,3,942.0083404339664
3,20,2,1.0,4,940.1167574210465
4,20,2,1.0,5,938.2251744081269
5,20,2,1.0,7,934.442008382288
6,20,2,1.0,9,930.6588423564488
7,20,2,1.0,12,924.9840933176898
8,20,2,1.0,15,919.3093442789309
9,20,2,1.0,20,909.8514292143329
10,20,2,1.0,Optimal,945.7915064598055
11,20,2,1.0,Dynamic,945.7915064598055
0,20,5,0.25,1,86.65907863636112
1,20,5,0.25,2,187.86898351233023
2,20,5,0.25,3,241.5147820771203
3,20,5,0.25,4,274.0681907564516
4,20,5,0.25,5,291.82583111273277
5,20,5,0.25,7,316.6818334605183
6,20,5,0.25,9,334.045439645227
7,20,5,0.25,12,347.5540946033848
8,20,5,0.25,15,349.78002975632006
9,20,5,0.25,20,346.7817846189225
10,20,5,0.25,Optimal,370.76383230476625
11,20,5,0.25,Dynamic,349.5469464356281
0,20,5,0.5,1,194.22003710432173
1,20,5,0.5,2,274.36659089477575
2,20,5,0.5,3,298.15785683893677
3,20,5,0.5,4,314.0366847969746
4,20,5,0.5,5,332.205506443367
5,20,5,0.5,7,348.8269325027393
6,20,5,0.5,9,354.71875682604536
7,20,5,0.5,12,355.31264920408915
8,20,5,0.5,15,353.5026518543335
9,20,5,0.5,20,344.7882223859132
10,20,5,0.5,Optimal,374.00194494391786
11,20,5,0.5,Dynamic,355.7611603019268
0,20,5,0.7,1,264.9563815649539
1,20,5,0.7,2,308.4505011992922
2,20,5,0.7,3,334.0709350970443
3,20,5,0.7,4,341.23880579396086
4,20,5,0.7,5,351.18303593175006
5,20,5,0.7,7,355.15154579230096
6,20,5,0.7,9,360.1403713701472
7,20,5,0.7,12,355.9296825569103
8,20,5,0.7,15,350.4246346568583
9,20,5,0.7,20,341.7427482490735
10,20,5,0.7,Optimal,373.47048999410777
11,20,5,0.7,Dynamic,361.9735815534695
0,20,5,0.8,1,287.30443515561694
1,20,5,0.8,2,331.2897629196247
2,20,5,0.8,3,343.80656340625205
3,20,5,0.8,4,351.1589518943421
4,20,5,0.8,5,355.9074775061672
5,20,5,0.8,7,355.65032613677744
6,20,5,0.8,9,354.8088319716148
7,20,5,0.8,12,349.9167014003464
8,20,5,0.8,15,344.36246804478526
9,20,5,0.8,20,335.32572663786164
10,20,5,0.8,Optimal,367.6704862924125
11,20,5,0.8,Dynamic,357.4091697508107
0,20,5,0.85,1,306.60902810449755
1,20,5,0.85,2,331.33054376439645
2,20,5,0.85,3,340.4443467242617
3,20,5,0.85,4,344.4762869988543
4,20,5,0.85,5,346.07423769026974
5,20,5,0.85,7,344.21263147509586
6,20,5,0.85,9,341.90666694418707
7,20,5,0.85,12,336.7681464517837
8,20,5,0.85,15,332.3212564531995
9,20,5,0.85,20,323.3878893442425
10,20,5,0.85,Optimal,355.35423671280046
11,20,5,0.85,Dynamic,346.32251957621537
0,20,5,0.9,1,347.497856796885
1,20,5,0.9,2,363.84824665067987
2,20,5,0.9,3,370.8304019940533
3,20,5,0.9,4,370.9245326646232
4,20,5,0.9,5,369.96876567684825
5,20,5,0.9,7,367.626797508965
6,20,5,0.9,9,363.83683052433645
7,20,5,0.9,12,358.5221045960023
8,20,5,0.9,15,352.8312775389229
9,20,5,0.9,20,343.3465657771238
10,20,5,0.9,Optimal,377.8547186344476
11,20,5,0.9,Dynamic,373.1328966627713
0,20,5,0.95,1,346.16207270488013
1,20,5,0.95,2,362.4635727477102
2,20,5,0.95,3,365.0879742440206
3,20,5,0.95,4,365.3797598915812
4,20,5,0.95,5,363.6927512235491
5,20,5,0.95,7,360.42882981346884
6,20,5,0.95,9,356.71306868137117
7,20,5,0.95,12,351.3757123148047
8,20,5,0.95,15,345.79832005583967
9,20,5,0.95,20,336.50266629089776
10,20,5,0.95,Optimal,370.81942106498286
11,20,5,0.95,Dynamic,367.49691374670147
0,20,5,1.0,1,371.2746186500678
1,20,5,1.0,2,369.4182455568175
2,20,5,1.0,3,367.5618724635671
3,20,5,1.0,4,365.7054993703168
4,20,5,1.0,5,363.8491262770665
5,20,5,1.0,7,360.1363800905658
6,20,5,1.0,9,356.423633904065
7,20,5,1.0,12,350.8545146243141
8,20,5,1.0,15,345.2853953445631
9,20,5,1.0,20,336.0035298783114
10,20,5,1.0,Optimal,371.2746186500678
11,20,5,1.0,Dynamic,371.2746186500678
0,20,10,0.25,1,42.90912393964719
1,20,10,0.25,2,99.94849711150941
2,20,10,0.25,3,117.37382937340351
3,20,10,0.25,4,133.48315863266293
4,20,10,0.25,5,141.3080634177467
5,20,10,0.25,7,151.9978574666788
6,20,10,0.25,9,155.84406026586143
7,20,10,0.25,12,155.88514541753807
8,20,10,0.25,15,153.3478275099012
9,20,10,0.25,20,148.20194250816158
10,20,10,0.25,Optimal,172.70966514870338
11,20,10,0.25,Dynamic,155.11780386823023
0,20,10,0.5,1,86.36869287516576
1,20,10,0.5,2,121.62172406314701
2,20,10,0.5,3,142.77911995803362
3,20,10,0.5,4,152.3200929811883
4,20,10,0.5,5,156.8755631275588
5,20,10,0.5,7,164.6330044509858
6,20,10,0.5,9,168.2037453065415
7,20,10,0.5,12,164.54833888791433
8,20,10,0.5,15,159.8260105132077
9,20,10,0.5,20,151.45303446425808
10,20,10,0.5,Optimal,180.111571786211
11,20,10,0.5,Dynamic,168.12498505056163
0,20,10,0.7,1,132.40381038017057
1,20,10,0.7,2,153.58039036532998
2,20,10,0.7,3,167.62120389367516
3,20,10,0.7,4,169.4664904468542
4,20,10,0.7,5,171.54201003326904
5,20,10,0.7,7,170.56220039884153
6,20,10,0.7,9,169.027570103529
7,20,10,0.7,12,163.84935059935822
8,20,10,0.7,15,159.24966696464637
9,20,10,0.7,20,150.1158377410583
10,20,10,0.7,Optimal,181.34303565875922
11,20,10,0.7,Dynamic,171.94864417038022
0,20,10,0.8,1,144.24759648993026
1,20,10,0.8,2,161.9702005813216
2,20,10,0.8,3,166.3189295117067
3,20,10,0.8,4,166.78971821847708
4,20,10,0.8,5,166.37989599402647
5,20,10,0.8,7,165.239175024469
6,20,10,0.8,9,162.0017109130343
7,20,10,0.8,12,158.2377278570104
8,20,10,0.8,15,152.9038718618303
9,20,10,0.8,20,144.01411186986346
10,20,10,0.8,Optimal,175.24632116677702
11,20,10,0.8,Dynamic,167.98683855623273
0,20,10,0.85,1,147.45949991456777
1,20,10,0.85,2,167.74583715536136
2,20,10,0.85,3,171.10903462482278
3,20,10,0.85,4,170.52754514603575
4,20,10,0.85,5,170.4609675089582
5,20,10,0.85,7,169.40310108498784
6,20,10,0.85,9,166.07321411689156
7,20,10,0.85,12,161.18079262579792
8,20,10,0.85,15,155.74773220020919
9,20,10,0.85,20,146.69263149089468
10,20,10,0.85,Optimal,179.02019390197
11,20,10,0.85,Dynamic,172.06609645381985
0,20,10,0.9,1,159.0855422916962
1,20,10,0.9,2,174.33107769678497
2,20,10,0.9,3,177.20928783516035
3,20,10,0.9,4,177.27784880800166
4,20,10,0.9,5,176.34335136808096
5,20,10,0.9,7,173.01463626979685
6,20,10,0.9,9,170.2404829302834
7,20,10,0.9,12,164.68916283473067
8,20,10,0.9,15,159.13784273917798
9,20,10,0.9,20,149.88564257992343
10,20,10,0.9,Optimal,183.50083661521043
11,20,10,0.9,Dynamic,179.4551291658012
0,20,10,0.95,1,170.75614117522568
1,20,10,0.95,2,175.40938332378897
2,20,10,0.95,3,175.83660424588757
3,20,10,0.95,4,174.8536655416938
4,20,10,0.95,5,173.05105043301648
5,20,10,0.95,7,169.4950005963792
6,20,10,0.95,9,166.05982427154916
7,20,10,0.95,12,160.64483000182474
8,20,10,0.95,15,155.2298357321003
9,20,10,0.95,20,146.20484528255957
10,20,10,0.95,Optimal,179.69344639237428
11,20,10,0.95,Dynamic,177.03766377560711
0,20,10,1.0,1,185.400762554951
1,20,10,1.0,2,183.54675492940152
2,20,10,1.0,3,181.692747303852
3,20,10,1.0,4,179.8387396783025
4,20,10,1.0,5,177.98473205275297
5,20,10,1.0,7,174.27671680165392
6,20,10,1.0,9,170.56870155055495
7,20,10,1.0,12,165.00667867390638
8,20,10,1.0,15,159.4446557972579
9,20,10,1.0,20,150.17461766951033
10,20,10,1.0,Optimal,185.400762554951
11,20,10,1.0,Dynamic,185.400762554951
0,20,25,0.25,1,21.77311105423975
1,20,25,0.25,2,42.97319468467647
2,20,25,0.25,3,49.07228573868201
3,20,25,0.25,4,53.574198966829336
4,20,25,0.25,5,55.37746626186035
5,20,25,0.25,7,56.277775900661766
6,20,25,0.25,9,55.78081979834335
7,20,25,0.25,12,52.78652236120948
8,20,25,0.25,15,48.72773685218411
9,20,25,0.25,20,40.233013344942
10,20,25,0.25,Optimal,66.34307913113155
11,20,25,0.25,Dynamic,56.313521105685865
0,20,25,0.5,1,41.30291758991222
1,20,25,0.5,2,60.292053356233765
2,20,25,0.5,3,64.1942400203353
3,20,25,0.5,4,65.34709126868361
4,20,25,0.5,5,64.63654444017568
5,20,25,0.5,7,63.08325509895842
6,20,25,0.5,9,61.30741021767188
7,20,25,0.5,12,56.203968464705646
8,20,25,0.5,15,51.10564946396688
9,20,25,0.5,20,41.51743904998664
